write_fact_A,query_B,expected_output_A
Aris baru saja membeli mobil Chevrolet yang warnanya Biru.,Apa warna mobil Chevrolet yang dibeli Aris?,Biru
"Nama lengkap orang ini adalah Lia Setiawan, dan dia berasal dari Jakarta.",Siapa nama lengkap orang yang berasal dari Jakarta ini?,Lia Setiawan
Putri baru saja membeli mobil Mitsubishi yang warnanya Oranye.,Apa warna mobil Mitsubishi yang dibeli Putri?,Oranye
"Nama lengkap orang ini adalah Nita Simanjuntak, dan dia berasal dari Padang.",Siapa nama lengkap orang yang berasal dari Padang ini?,Nita Simanjuntak
Kode rahasia untuk User_737 adalah 211013.,Apa kode rahasia untuk User_737?,211013
Bayu memiliki peliharaan Burung yang diberi nama Molly.,Siapa nama Burung peliharaan Bayu?,Molly
Nina Nugroho bekerja sebagai seorang Wartawan profesional.,Apa pekerjaan dari Nina Nugroho?,Wartawan
Doni memiliki peliharaan Hamster yang diberi nama Max.,Siapa nama Hamster peliharaan Doni?,Max
Dian Kusuma bekerja sebagai seorang Penyanyi profesional.,Apa pekerjaan dari Dian Kusuma?,Penyanyi
"Nama lengkap orang ini adalah Rini Santoso, dan dia berasal dari Mataram.",Siapa nama lengkap orang yang berasal dari Mataram ini?,Rini Santoso
Nita memiliki peliharaan Burung yang diberi nama Coco.,Siapa nama Burung peliharaan Nita?,Coco
"Nama lengkap orang ini adalah Rini Lim, dan dia berasal dari Bandung.",Siapa nama lengkap orang yang berasal dari Bandung ini?,Rini Lim
Kendaraan sehari-hari Lia adalah mobil Ford berwarna Merah.,Apa merek dan warna mobil Lia?,Ford berwarna Merah
Bayu Nugroho bekerja sebagai seorang Guru profesional.,Apa pekerjaan dari Bayu Nugroho?,Guru
Bayu baru saja membeli mobil Chevrolet yang warnanya Perak.,Apa warna mobil Chevrolet yang dibeli Bayu?,Perak
Mega memiliki peliharaan Ikan yang diberi nama Nemo.,Siapa nama Ikan peliharaan Mega?,Nemo
"Nama lengkap orang ini adalah Doni Putra, dan dia berasal dari Palembang.",Siapa nama lengkap orang yang berasal dari Palembang ini?,Doni Putra
Doni baru saja membeli mobil Toyota yang warnanya Biru.,Apa warna mobil Toyota yang dibeli Doni?,Biru
Kendaraan sehari-hari Hendra adalah mobil Lexus berwarna Cokelat.,Apa merek dan warna mobil Hendra?,Lexus berwarna Cokelat
Maya Wijaya bekerja sebagai seorang Dokter profesional.,Apa pekerjaan dari Maya Wijaya?,Dokter
Andi baru saja membeli mobil Audi yang warnanya Putih.,Apa warna mobil Audi yang dibeli Andi?,Putih
"Nama lengkap orang ini adalah Tono Santoso, dan dia berasal dari Jakarta.",Siapa nama lengkap orang yang berasal dari Jakarta ini?,Tono Santoso
Kode rahasia untuk User_935 adalah 852201.,Apa kode rahasia untuk User_935?,852201
Rini Gunawan lahir dan dibesarkan di kota Semarang.,Di mana Rini Gunawan lahir dan dibesarkan?,Semarang
Budi Lim bekerja sebagai seorang Pilot profesional.,Apa pekerjaan dari Budi Lim?,Pilot
Rudi Pratama lahir dan dibesarkan di kota Ambon.,Di mana Rudi Pratama lahir dan dibesarkan?,Ambon
Kendaraan sehari-hari Dian adalah mobil Daihatsu berwarna Merah.,Apa merek dan warna mobil Dian?,Daihatsu berwarna Merah
Mega Pratama lahir dan dibesarkan di kota Banjarmasin.,Di mana Mega Pratama lahir dan dibesarkan?,Banjarmasin
Siti Gunawan bekerja sebagai seorang Polisi profesional.,Apa pekerjaan dari Siti Gunawan?,Polisi
Dewi baru saja membeli mobil Suzuki yang warnanya Ungu.,Apa warna mobil Suzuki yang dibeli Dewi?,Ungu
Agus memiliki peliharaan Musang yang diberi nama Coco.,Siapa nama Musang peliharaan Agus?,Coco
Ayu Nugroho bekerja sebagai seorang Seniman profesional.,Apa pekerjaan dari Ayu Nugroho?,Seniman
"Nama lengkap orang ini adalah Fitri Saputra, dan dia berasal dari Pontianak.",Siapa nama lengkap orang yang berasal dari Pontianak ini?,Fitri Saputra
Aris Suryono bekerja sebagai seorang Aktor profesional.,Apa pekerjaan dari Aris Suryono?,Aktor
Nita baru saja membeli mobil Hyundai yang warnanya Hitam.,Apa warna mobil Hyundai yang dibeli Nita?,Hitam
"Nama lengkap orang ini adalah Hendra Wibowo, dan dia berasal dari Mataram.",Siapa nama lengkap orang yang berasal dari Mataram ini?,Hendra Wibowo
Kode rahasia untuk User_176 adalah 922144.,Apa kode rahasia untuk User_176?,922144
Bayu Wibowo lahir dan dibesarkan di kota Ambon.,Di mana Bayu Wibowo lahir dan dibesarkan?,Ambon
Rini Utama lahir dan dibesarkan di kota Mataram.,Di mana Rini Utama lahir dan dibesarkan?,Mataram
Ayu baru saja membeli mobil Suzuki yang warnanya Emas.,Apa warna mobil Suzuki yang dibeli Ayu?,Emas
Kendaraan sehari-hari Siti adalah mobil Nissan berwarna Oranye.,Apa merek dan warna mobil Siti?,Nissan berwarna Oranye
Kode rahasia untuk User_422 adalah 953363.,Apa kode rahasia untuk User_422?,953363
"Nama lengkap orang ini adalah Siti Wibowo, dan dia berasal dari Mataram.",Siapa nama lengkap orang yang berasal dari Mataram ini?,Siti Wibowo
Rio memiliki peliharaan Kucing yang diberi nama Nemo.,Siapa nama Kucing peliharaan Rio?,Nemo
Kode rahasia untuk User_646 adalah 374872.,Apa kode rahasia untuk User_646?,374872
Mega Wijaya lahir dan dibesarkan di kota Banjarmasin.,Di mana Mega Wijaya lahir dan dibesarkan?,Banjarmasin
Kendaraan sehari-hari Iwan adalah mobil Kia berwarna Ungu.,Apa merek dan warna mobil Iwan?,Kia berwarna Ungu
Siti Purnama lahir dan dibesarkan di kota Banjarmasin.,Di mana Siti Purnama lahir dan dibesarkan?,Banjarmasin
Joko Pratama bekerja sebagai seorang Arsitek profesional.,Apa pekerjaan dari Joko Pratama?,Arsitek
Nita Gunawan lahir dan dibesarkan di kota Balikpapan.,Di mana Nita Gunawan lahir dan dibesarkan?,Balikpapan
Siti memiliki peliharaan Burung yang diberi nama Kiko.,Siapa nama Burung peliharaan Siti?,Kiko
Lia Simanjuntak lahir dan dibesarkan di kota Padang.,Di mana Lia Simanjuntak lahir dan dibesarkan?,Padang
Kode rahasia untuk User_175 adalah 326093.,Apa kode rahasia untuk User_175?,326093
Kendaraan sehari-hari Fitri adalah mobil Daihatsu berwarna Abu-abu.,Apa merek dan warna mobil Fitri?,Daihatsu berwarna Abu-abu
Eko Simanjuntak lahir dan dibesarkan di kota Semarang.,Di mana Eko Simanjuntak lahir dan dibesarkan?,Semarang
Dedy Putra lahir dan dibesarkan di kota Makassar.,Di mana Dedy Putra lahir dan dibesarkan?,Makassar
"Nama lengkap orang ini adalah Dewi Simanjuntak, dan dia berasal dari Mataram.",Siapa nama lengkap orang yang berasal dari Mataram ini?,Dewi Simanjuntak
"Nama lengkap orang ini adalah Joko Suryono, dan dia berasal dari Samarinda.",Siapa nama lengkap orang yang berasal dari Samarinda ini?,Joko Suryono
Aris Setiawan bekerja sebagai seorang Koki profesional.,Apa pekerjaan dari Aris Setiawan?,Koki
"Nama lengkap orang ini adalah Nina Nasution, dan dia berasal dari Mataram.",Siapa nama lengkap orang yang berasal dari Mataram ini?,Nina Nasution
Kode rahasia untuk User_148 adalah 190127.,Apa kode rahasia untuk User_148?,190127
Kendaraan sehari-hari Putri adalah mobil Ford berwarna Oranye.,Apa merek dan warna mobil Putri?,Ford berwarna Oranye
Rini memiliki peliharaan Ayam yang diberi nama Max.,Siapa nama Ayam peliharaan Rini?,Max
Kendaraan sehari-hari Dedy adalah mobil Chevrolet berwarna Kuning.,Apa merek dan warna mobil Dedy?,Chevrolet berwarna Kuning
Hendra Rahman bekerja sebagai seorang Guru profesional.,Apa pekerjaan dari Hendra Rahman?,Guru
Siti Putra bekerja sebagai seorang Seniman profesional.,Apa pekerjaan dari Siti Putra?,Seniman
Kode rahasia untuk User_216 adalah 468323.,Apa kode rahasia untuk User_216?,468323
Eko memiliki peliharaan Kucing yang diberi nama Kiko.,Siapa nama Kucing peliharaan Eko?,Kiko
"Nama lengkap orang ini adalah Budi Wibowo, dan dia berasal dari Malang.",Siapa nama lengkap orang yang berasal dari Malang ini?,Budi Wibowo
Nita baru saja membeli mobil Lexus yang warnanya Kuning.,Apa warna mobil Lexus yang dibeli Nita?,Kuning
Kode rahasia untuk User_265 adalah 884330.,Apa kode rahasia untuk User_265?,884330
Kode rahasia untuk User_850 adalah 308200.,Apa kode rahasia untuk User_850?,308200
Dewi baru saja membeli mobil Daihatsu yang warnanya Ungu.,Apa warna mobil Daihatsu yang dibeli Dewi?,Ungu
Rina Nasution lahir dan dibesarkan di kota Semarang.,Di mana Rina Nasution lahir dan dibesarkan?,Semarang
"Nama lengkap orang ini adalah Sari Gunawan, dan dia berasal dari Padang.",Siapa nama lengkap orang yang berasal dari Padang ini?,Sari Gunawan
"Nama lengkap orang ini adalah Budi Nasution, dan dia berasal dari Malang.",Siapa nama lengkap orang yang berasal dari Malang ini?,Budi Nasution
Wati baru saja membeli mobil Suzuki yang warnanya Emas.,Apa warna mobil Suzuki yang dibeli Wati?,Emas
Rina Nugroho bekerja sebagai seorang Seniman profesional.,Apa pekerjaan dari Rina Nugroho?,Seniman
Kode rahasia untuk User_723 adalah 493674.,Apa kode rahasia untuk User_723?,493674
Kode rahasia untuk User_397 adalah 579113.,Apa kode rahasia untuk User_397?,579113
Kode rahasia untuk User_956 adalah 533501.,Apa kode rahasia untuk User_956?,533501
Doni baru saja membeli mobil Mazda yang warnanya Hijau.,Apa warna mobil Mazda yang dibeli Doni?,Hijau
"Nama lengkap orang ini adalah Aris Saputra, dan dia berasal dari Manado.",Siapa nama lengkap orang yang berasal dari Manado ini?,Aris Saputra
Hendra memiliki peliharaan Ikan yang diberi nama Bella.,Siapa nama Ikan peliharaan Hendra?,Bella
Nina memiliki peliharaan Hamster yang diberi nama Mochi.,Siapa nama Hamster peliharaan Nina?,Mochi
Eko baru saja membeli mobil Toyota yang warnanya Oranye.,Apa warna mobil Toyota yang dibeli Eko?,Oranye
Kode rahasia untuk User_385 adalah 610944.,Apa kode rahasia untuk User_385?,610944
Kode rahasia untuk User_679 adalah 483822.,Apa kode rahasia untuk User_679?,483822
Kendaraan sehari-hari Hendra adalah mobil Daihatsu berwarna Kuning.,Apa merek dan warna mobil Hendra?,Daihatsu berwarna Kuning
Nina Nasution lahir dan dibesarkan di kota Mataram.,Di mana Nina Nasution lahir dan dibesarkan?,Mataram
Aris Gunawan lahir dan dibesarkan di kota Padang.,Di mana Aris Gunawan lahir dan dibesarkan?,Padang
"Nama lengkap orang ini adalah Hadi Gunawan, dan dia berasal dari Semarang.",Siapa nama lengkap orang yang berasal dari Semarang ini?,Hadi Gunawan
Bayu baru saja membeli mobil Lexus yang warnanya Kuning.,Apa warna mobil Lexus yang dibeli Bayu?,Kuning
Iwan baru saja membeli mobil Daihatsu yang warnanya Putih.,Apa warna mobil Daihatsu yang dibeli Iwan?,Putih
Nita baru saja membeli mobil Toyota yang warnanya Cokelat.,Apa warna mobil Toyota yang dibeli Nita?,Cokelat
Wati Saputra lahir dan dibesarkan di kota Surabaya.,Di mana Wati Saputra lahir dan dibesarkan?,Surabaya
Mega Wibowo lahir dan dibesarkan di kota Bandung.,Di mana Mega Wibowo lahir dan dibesarkan?,Bandung
Joko baru saja membeli mobil Daihatsu yang warnanya Oranye.,Apa warna mobil Daihatsu yang dibeli Joko?,Oranye
Mega memiliki peliharaan Musang yang diberi nama Daisy.,Siapa nama Musang peliharaan Mega?,Daisy
Bayu baru saja membeli mobil Mercedes-Benz yang warnanya Hijau.,Apa warna mobil Mercedes-Benz yang dibeli Bayu?,Hijau
"Nama lengkap orang ini adalah Agus Kusuma, dan dia berasal dari Manado.",Siapa nama lengkap orang yang berasal dari Manado ini?,Agus Kusuma
Dedy baru saja membeli mobil Honda yang warnanya Hijau.,Apa warna mobil Honda yang dibeli Dedy?,Hijau
"Nama lengkap orang ini adalah Rini Nugroho, dan dia berasal dari Medan.",Siapa nama lengkap orang yang berasal dari Medan ini?,Rini Nugroho
Kode rahasia untuk User_696 adalah 647760.,Apa kode rahasia untuk User_696?,647760
Tono Purnama lahir dan dibesarkan di kota Palembang.,Di mana Tono Purnama lahir dan dibesarkan?,Palembang
Dedy baru saja membeli mobil Chevrolet yang warnanya Kuning.,Apa warna mobil Chevrolet yang dibeli Dedy?,Kuning
Kendaraan sehari-hari Dewi adalah mobil Suzuki berwarna Merah Muda.,Apa merek dan warna mobil Dewi?,Suzuki berwarna Merah Muda
Dian Gunawan bekerja sebagai seorang Seniman profesional.,Apa pekerjaan dari Dian Gunawan?,Seniman
Kendaraan sehari-hari Lia adalah mobil Mitsubishi berwarna Kuning.,Apa merek dan warna mobil Lia?,Mitsubishi berwarna Kuning
Rina Purnama bekerja sebagai seorang Programmer profesional.,Apa pekerjaan dari Rina Purnama?,Programmer
Kendaraan sehari-hari Andi adalah mobil Nissan berwarna Perak.,Apa merek dan warna mobil Andi?,Nissan berwarna Perak
Kendaraan sehari-hari Rio adalah mobil Lexus berwarna Abu-abu.,Apa merek dan warna mobil Rio?,Lexus berwarna Abu-abu
"Nama lengkap orang ini adalah Dian Pratama, dan dia berasal dari Mataram.",Siapa nama lengkap orang yang berasal dari Mataram ini?,Dian Pratama
"Nama lengkap orang ini adalah Andi Saputra, dan dia berasal dari Pekanbaru.",Siapa nama lengkap orang yang berasal dari Pekanbaru ini?,Andi Saputra
Kendaraan sehari-hari Eko adalah mobil BMW berwarna Merah.,Apa merek dan warna mobil Eko?,BMW berwarna Merah
"Nama lengkap orang ini adalah Eko Purnama, dan dia berasal dari Semarang.",Siapa nama lengkap orang yang berasal dari Semarang ini?,Eko Purnama
"Nama lengkap orang ini adalah Iwan Nasution, dan dia berasal dari Banjarmasin.",Siapa nama lengkap orang yang berasal dari Banjarmasin ini?,Iwan Nasution
Hendra baru saja membeli mobil Chevrolet yang warnanya Emas.,Apa warna mobil Chevrolet yang dibeli Hendra?,Emas
"Nama lengkap orang ini adalah Hadi Siregar, dan dia berasal dari Kupang.",Siapa nama lengkap orang yang berasal dari Kupang ini?,Hadi Siregar
Kendaraan sehari-hari Ayu adalah mobil Mazda berwarna Merah Muda.,Apa merek dan warna mobil Ayu?,Mazda berwarna Merah Muda
Kendaraan sehari-hari Ayu adalah mobil Nissan berwarna Emas.,Apa merek dan warna mobil Ayu?,Nissan berwarna Emas
Kode rahasia untuk User_798 adalah 493262.,Apa kode rahasia untuk User_798?,493262
"Nama lengkap orang ini adalah Dedy Halim, dan dia berasal dari Surabaya.",Siapa nama lengkap orang yang berasal dari Surabaya ini?,Dedy Halim
Rini Santoso lahir dan dibesarkan di kota Samarinda.,Di mana Rini Santoso lahir dan dibesarkan?,Samarinda
Kode rahasia untuk User_289 adalah 731371.,Apa kode rahasia untuk User_289?,731371
Budi baru saja membeli mobil Mazda yang warnanya Cokelat.,Apa warna mobil Mazda yang dibeli Budi?,Cokelat
Dewi memiliki peliharaan Burung yang diberi nama Lucy.,Siapa nama Burung peliharaan Dewi?,Lucy
Siti memiliki peliharaan Burung yang diberi nama Lucy.,Siapa nama Burung peliharaan Siti?,Lucy
Budi memiliki peliharaan Anjing yang diberi nama Max.,Siapa nama Anjing peliharaan Budi?,Max
"Nama lengkap orang ini adalah Andi Nugroho, dan dia berasal dari Makassar.",Siapa nama lengkap orang yang berasal dari Makassar ini?,Andi Nugroho
Andi memiliki peliharaan Ayam yang diberi nama Rocky.,Siapa nama Ayam peliharaan Andi?,Rocky
Dian Lim bekerja sebagai seorang Pengusaha profesional.,Apa pekerjaan dari Dian Lim?,Pengusaha
Hadi memiliki peliharaan Anjing yang diberi nama Leo.,Siapa nama Anjing peliharaan Hadi?,Leo
Eko Wibowo bekerja sebagai seorang Dokter profesional.,Apa pekerjaan dari Eko Wibowo?,Dokter
Kode rahasia untuk User_801 adalah 797307.,Apa kode rahasia untuk User_801?,797307
Rudi Purnama bekerja sebagai seorang Penyanyi profesional.,Apa pekerjaan dari Rudi Purnama?,Penyanyi
Bayu memiliki peliharaan Bebek yang diberi nama Rocky.,Siapa nama Bebek peliharaan Bayu?,Rocky
Kendaraan sehari-hari Sari adalah mobil BMW berwarna Merah.,Apa merek dan warna mobil Sari?,BMW berwarna Merah
Nita Wijaya bekerja sebagai seorang Aktor profesional.,Apa pekerjaan dari Nita Wijaya?,Aktor
"Nama lengkap orang ini adalah Rio Wijaya, dan dia berasal dari Banjarmasin.",Siapa nama lengkap orang yang berasal dari Banjarmasin ini?,Rio Wijaya
Andi baru saja membeli mobil Kia yang warnanya Emas.,Apa warna mobil Kia yang dibeli Andi?,Emas
"Nama lengkap orang ini adalah Wati Siregar, dan dia berasal dari Ambon.",Siapa nama lengkap orang yang berasal dari Ambon ini?,Wati Siregar
Kode rahasia untuk User_650 adalah 907142.,Apa kode rahasia untuk User_650?,907142
Wati memiliki peliharaan Burung yang diberi nama Simba.,Siapa nama Burung peliharaan Wati?,Simba
Andi Wijaya bekerja sebagai seorang Petani profesional.,Apa pekerjaan dari Andi Wijaya?,Petani
"Nama lengkap orang ini adalah Hendra Gunawan, dan dia berasal dari Bandung.",Siapa nama lengkap orang yang berasal dari Bandung ini?,Hendra Gunawan
Kode rahasia untuk User_753 adalah 563726.,Apa kode rahasia untuk User_753?,563726
Kendaraan sehari-hari Joko adalah mobil Mazda berwarna Putih.,Apa merek dan warna mobil Joko?,Mazda berwarna Putih
Kendaraan sehari-hari Rudi adalah mobil Toyota berwarna Ungu.,Apa merek dan warna mobil Rudi?,Toyota berwarna Ungu
"Nama lengkap orang ini adalah Nina Simanjuntak, dan dia berasal dari Balikpapan.",Siapa nama lengkap orang yang berasal dari Balikpapan ini?,Nina Simanjuntak
Kendaraan sehari-hari Tono adalah mobil Nissan berwarna Biru.,Apa merek dan warna mobil Tono?,Nissan berwarna Biru
Kode rahasia untuk User_423 adalah 900911.,Apa kode rahasia untuk User_423?,900911
Sari Hidayat bekerja sebagai seorang Programmer profesional.,Apa pekerjaan dari Sari Hidayat?,Programmer
Kendaraan sehari-hari Tono adalah mobil Suzuki berwarna Emas.,Apa merek dan warna mobil Tono?,Suzuki berwarna Emas
Iwan memiliki peliharaan Musang yang diberi nama Simba.,Siapa nama Musang peliharaan Iwan?,Simba
"Nama lengkap orang ini adalah Lia Setiawan, dan dia berasal dari Samarinda.",Siapa nama lengkap orang yang berasal dari Samarinda ini?,Lia Setiawan
Andi Hidayat bekerja sebagai seorang Petani profesional.,Apa pekerjaan dari Andi Hidayat?,Petani
Aris Nugroho bekerja sebagai seorang Dokter profesional.,Apa pekerjaan dari Aris Nugroho?,Dokter
"Nama lengkap orang ini adalah Nina Lim, dan dia berasal dari Balikpapan.",Siapa nama lengkap orang yang berasal dari Balikpapan ini?,Nina Lim
"Nama lengkap orang ini adalah Putri Putra, dan dia berasal dari Medan.",Siapa nama lengkap orang yang berasal dari Medan ini?,Putri Putra
"Nama lengkap orang ini adalah Hendra Purnama, dan dia berasal dari Pontianak.",Siapa nama lengkap orang yang berasal dari Pontianak ini?,Hendra Purnama
Kendaraan sehari-hari Maya adalah mobil Chevrolet berwarna Kuning.,Apa merek dan warna mobil Maya?,Chevrolet berwarna Kuning
"Nama lengkap orang ini adalah Maya Simanjuntak, dan dia berasal dari Samarinda.",Siapa nama lengkap orang yang berasal dari Samarinda ini?,Maya Simanjuntak
"Nama lengkap orang ini adalah Agus Santoso, dan dia berasal dari Malang.",Siapa nama lengkap orang yang berasal dari Malang ini?,Agus Santoso
Siti Utama bekerja sebagai seorang Nelayan profesional.,Apa pekerjaan dari Siti Utama?,Nelayan
"Nama lengkap orang ini adalah Doni Utama, dan dia berasal dari Pekanbaru.",Siapa nama lengkap orang yang berasal dari Pekanbaru ini?,Doni Utama
Rini Kusuma bekerja sebagai seorang Penulis profesional.,Apa pekerjaan dari Rini Kusuma?,Penulis
Kendaraan sehari-hari Iwan adalah mobil Nissan berwarna Ungu.,Apa merek dan warna mobil Iwan?,Nissan berwarna Ungu
Rina Setiawan bekerja sebagai seorang Insinyur profesional.,Apa pekerjaan dari Rina Setiawan?,Insinyur
"Nama lengkap orang ini adalah Siti Putra, dan dia berasal dari Samarinda.",Siapa nama lengkap orang yang berasal dari Samarinda ini?,Siti Putra
Budi memiliki peliharaan Musang yang diberi nama Rocky.,Siapa nama Musang peliharaan Budi?,Rocky
Agus Halim lahir dan dibesarkan di kota Ambon.,Di mana Agus Halim lahir dan dibesarkan?,Ambon
